IND,VIU,Location,Year,HOUSE_ID
18660283,VIU,CR,1866,60
18660282,VIU,CR,1866,60
18660281,VIU,CR,1866,60
18660280,VIU,CR,1866,60
18660341,VIU,CR,1866,47
18660340,VIU,CR,1866,47
18660339,VIU,CR,1866,47
18660338,VIU,CR,1866,47
18660337,VIU,CR,1866,47
18660336,VIU,CR,1866,47
18660335,VIU,CR,1866,47
18660334,VIU,CR,1866,47
18660333,VIU,CR,1866,47
18660332,VIU,CR,1866,47
18660153,VIU,CR,1866,50
18660152,VIU,CR,1866,50
18660151,VIU,CR,1866,50
18660150,VIU,CR,1866,50
18660157,VIU,CR,1866,65
18660156,VIU,CR,1866,65
18660155,VIU,CR,1866,65
18660154,VIU,CR,1866,65
18660202,VIU,CR,1866,43
18660201,VIU,CR,1866,43
18660200,VIU,CR,1866,43
18660199,VIU,CR,1866,43
18660198,VIU,CR,1866,43
18660197,VIU,CR,1866,43
18660196,VIU,CR,1866,43
18660208,VIU,CR,1866,51
18660207,VIU,CR,1866,51
18660206,VIU,CR,1866,51
18660205,VIU,CR,1866,51
18660204,VIU,CR,1866,51
18660203,VIU,CR,1866,51
18660212,VIU,CR,1866,66
18660211,VIU,CR,1866,66
18660210,VIU,CR,1866,66
18660209,VIU,CR,1866,66
18660240,VIU,CR,1866,44
18660239,VIU,CR,1866,44
18660238,VIU,CR,1866,44
18660237,VIU,CR,1866,44
18660236,VIU,CR,1866,44
18660235,VIU,CR,1866,44
18660243,VIU,CR,1866,52
18660242,VIU,CR,1866,52
18660241,VIU,CR,1866,52
18660249,VIU,CR,1866,67
18660248,VIU,CR,1866,67
18660247,VIU,CR,1866,67
18660246,VIU,CR,1866,67
18660245,VIU,CR,1866,67
18660244,VIU,CR,1866,67
18660279,VIU,CR,1866,45
18660292,VIU,CR,1866,68
18660291,VIU,CR,1866,68
18660290,VIU,CR,1866,68
18660289,VIU,CR,1866,68
18660288,VIU,CR,1866,68
18660287,VIU,CR,1866,68
18660314,VIU,CR,1866,46
18660318,VIU,CR,1866,61
18660317,VIU,CR,1866,61
18660316,VIU,CR,1866,61
18660315,VIU,CR,1866,61
18660324,VIU,CR,1866,69
18660323,VIU,CR,1866,69
18660322,VIU,CR,1866,69
18660321,VIU,CR,1866,69
18660320,VIU,CR,1866,69
18660319,VIU,CR,1866,69
18660342,VIU,CR,1866,62
18660351,VIU,CR,1866,70
18660350,VIU,CR,1866,70
18660349,VIU,CR,1866,70
18660348,VIU,CR,1866,70
18660347,VIU,CR,1866,70
18660346,VIU,CR,1866,70
18660345,VIU,CR,1866,70
18660344,VIU,CR,1866,70
18660343,VIU,CR,1866,70
18660093,VIU,CR,1866,30
18660092,VIU,CR,1866,30
18660091,VIU,CR,1866,30
18660090,VIU,CR,1866,30
18660089,VIU,CR,1866,30
18660088,VIU,CR,1866,30
18660143,VIU,CR,1866,31
18660142,VIU,CR,1866,31
18660141,VIU,CR,1866,31
18660140,VIU,CR,1866,31
18660191,VIU,CR,1866,32
18660190,VIU,CR,1866,32
18660189,VIU,CR,1866,32
18660188,VIU,CR,1866,32
18660187,VIU,CR,1866,32
18660186,VIU,CR,1866,32
18660125,VIU,CR,1866,14
18660124,VIU,CR,1866,14
18660123,VIU,CR,1866,14
18660122,VIU,CR,1866,14
18660121,VIU,CR,1866,14
18660120,VIU,CR,1866,14
18660119,VIU,CR,1866,14
18660118,VIU,CR,1866,14
18660117,VIU,CR,1866,14
18660145,VIU,CR,1866,37
18660144,VIU,CR,1866,37
18660195,VIU,CR,1866,38
18660194,VIU,CR,1866,38
18660193,VIU,CR,1866,38
18660192,VIU,CR,1866,38
18660234,VIU,CR,1866,39
18660233,VIU,CR,1866,39
18660232,VIU,CR,1866,39
18660231,VIU,CR,1866,39
18660230,VIU,CR,1866,39
18660229,VIU,CR,1866,39
18660228,VIU,CR,1866,39
18660313,VIU,CR,1866,40
18660312,VIU,CR,1866,40
18660278,VIU,CR,1866,40
18660277,VIU,CR,1866,40
18660276,VIU,CR,1866,40
18660275,VIU,CR,1866,40
18660274,VIU,CR,1866,40
18660331,VIU,CR,1866,41
18660330,VIU,CR,1866,41
18660329,VIU,CR,1866,41
18660328,VIU,CR,1866,41
18660327,VIU,CR,1866,41
18660179,VIU,CR,1866,19
18660178,VIU,CR,1866,19
18660177,VIU,CR,1866,19
18660176,VIU,CR,1866,19
18660175,VIU,CR,1866,19
18660174,VIU,CR,1866,19
18660219,VIU,CR,1866,20
18660218,VIU,CR,1866,20
18660217,VIU,CR,1866,20
18660216,VIU,CR,1866,20
18660262,VIU,CR,1866,21
18660261,VIU,CR,1866,21
18660260,VIU,CR,1866,21
18660259,VIU,CR,1866,21
18660227,VIU,CR,1866,33
18660226,VIU,CR,1866,33
18660273,VIU,CR,1866,34
18660272,VIU,CR,1866,34
18660271,VIU,CR,1866,34
18660270,VIU,CR,1866,34
18660269,VIU,CR,1866,34
18660268,VIU,CR,1866,34
18660267,VIU,CR,1866,34
18660266,VIU,CR,1866,34
18660311,VIU,CR,1866,35
18660310,VIU,CR,1866,35
18660309,VIU,CR,1866,35
18780027,VIU,SFLL,1878,5
18780026,VIU,SFLL,1878,5
18780025,VIU,SFLL,1878,5
18780024,VIU,SFLL,1878,5
18780023,VIU,SFLL,1878,5
18780044,VIU,SFLL,1878,8
18780043,VIU,SFLL,1878,8
18780042,VIU,SFLL,1878,8
18780041,VIU,SFLL,1878,8
18810019,VIU,SFLL,1881,3
18810018,VIU,SFLL,1881,3
18810017,VIU,SFLL,1881,3
18810016,VIU,SFLL,1881,3
18810015,VIU,SFLL,1881,3
18810014,VIU,SFLL,1881,3
18810013,VIU,SFLL,1881,3
18810012,VIU,SFLL,1881,3
18810011,VIU,SFLL,1881,3
18810010,VIU,SFLL,1881,3
18780005,VIU,SFLL,1878,1
18780004,VIU,SFLL,1878,1
18780003,VIU,SFLL,1878,1
18780002,VIU,SFLL,1878,1
18780001,VIU,SFLL,1878,1
18810005,VIU,SFLL,1881,1
18810004,VIU,SFLL,1881,1
18810003,VIU,SFLL,1881,1
18810002,VIU,SFLL,1881,1
18810001,VIU,SFLL,1881,1
18810009,VIU,SFLL,1881,2
18810008,VIU,SFLL,1881,2
18810007,VIU,SFLL,1881,2
18810006,VIU,SFLL,1881,2
18890600,VIU,SFLL,1889,118
18890599,VIU,SFLL,1889,118
18890598,VIU,SFLL,1889,118
18780009,VIU,SFLL,1878,2
18780008,VIU,SFLL,1878,2
18780007,VIU,SFLL,1878,2
18780006,VIU,SFLL,1878,2
18780016,VIU,SFLL,1878,3
18780015,VIU,SFLL,1878,3
18780014,VIU,SFLL,1878,3
18780013,VIU,SFLL,1878,3
18780012,VIU,SFLL,1878,3
18780011,VIU,SFLL,1878,3
18780010,VIU,SFLL,1878,3
18780022,VIU,SFLL,1878,4
18780021,VIU,SFLL,1878,4
18780020,VIU,SFLL,1878,4
18780019,VIU,SFLL,1878,4
18780018,VIU,SFLL,1878,4
18780017,VIU,SFLL,1878,4
18780032,VIU,SFLL,1878,6
18780031,VIU,SFLL,1878,6
18780030,VIU,SFLL,1878,6
18780029,VIU,SFLL,1878,6
18780028,VIU,SFLL,1878,6
18780040,VIU,SFLL,1878,7
18780039,VIU,SFLL,1878,7
18780038,VIU,SFLL,1878,7
18780037,VIU,SFLL,1878,7
18780036,VIU,SFLL,1878,7
18780035,VIU,SFLL,1878,7
18780034,VIU,SFLL,1878,7
18780033,VIU,SFLL,1878,7
18780616,VIU,SFLL,1878,154
18780615,VIU,SFLL,1878,154
18780614,VIU,SFLL,1878,154
18780613,VIU,SFLL,1878,154
18780612,VIU,SFLL,1878,154
18780611,VIU,SFLL,1878,154
18780630,VIU,SFLL,1878,157
18780634,VIU,SFLL,1878,158
18780633,VIU,SFLL,1878,158
18780632,VIU,SFLL,1878,158
18780631,VIU,SFLL,1878,158
18780636,VIU,SFLL,1878,159
18780635,VIU,SFLL,1878,159
18780638,VIU,SFLL,1878,160
18780637,VIU,SFLL,1878,160
18780646,VIU,SFLL,1878,161
18780645,VIU,SFLL,1878,161
18780644,VIU,SFLL,1878,161
18780643,VIU,SFLL,1878,161
18780642,VIU,SFLL,1878,161
18780641,VIU,SFLL,1878,161
18780640,VIU,SFLL,1878,161
18780639,VIU,SFLL,1878,161
18780649,VIU,SFLL,1878,162
18780648,VIU,SFLL,1878,162
18780647,VIU,SFLL,1878,162
18780652,VIU,SFLL,1878,163
18780651,VIU,SFLL,1878,163
18780650,VIU,SFLL,1878,163
18782718,VIU,SFLL,1878,658
18782717,VIU,SFLL,1878,658
18782716,VIU,SFLL,1878,658
18782715,VIU,SFLL,1878,658
18782714,VIU,SFLL,1878,658
18782713,VIU,SFLL,1878,658
18782712,VIU,SFLL,1878,658
18380041,VIU,SFLL,1838,321
18380040,VIU,SFLL,1838,321
18380039,VIU,SFLL,1838,321
18380038,VIU,SFLL,1838,321
18380037,VIU,SFLL,1838,321
18380036,VIU,SFLL,1838,321
18380035,VIU,SFLL,1838,321
18380034,VIU,SFLL,1838,321
18810028,VIU,SFLL,1881,5
18810027,VIU,SFLL,1881,5
18810026,VIU,SFLL,1881,5
18810025,VIU,SFLL,1881,5
18810024,VIU,SFLL,1881,5
18810023,VIU,SFLL,1881,5
18810022,VIU,SFLL,1881,5
18380063,VIU,SFLL,1838,324
18380062,VIU,SFLL,1838,324
18380061,VIU,SFLL,1838,324
18380060,VIU,SFLL,1838,324
18380059,VIU,SFLL,1838,324
18810037,VIU,SFLL,1881,7
18810036,VIU,SFLL,1881,7
18810035,VIU,SFLL,1881,7
18890607,VIU,SFLL,1889,119
18890606,VIU,SFLL,1889,119
18890605,VIU,SFLL,1889,119
18890604,VIU,SFLL,1889,119
18890603,VIU,SFLL,1889,119
18890602,VIU,SFLL,1889,119
18890601,VIU,SFLL,1889,119
18380072,VIU,SFLL,1838,326
18380071,VIU,SFLL,1838,326
18380070,VIU,SFLL,1838,326
18380069,VIU,SFLL,1838,326
18810044,VIU,SFLL,1881,9
18810043,VIU,SFLL,1881,9
18890612,VIU,SFLL,1889,120
18890611,VIU,SFLL,1889,120
18890610,VIU,SFLL,1889,120
18890609,VIU,SFLL,1889,120
18890608,VIU,SFLL,1889,120
18380076,VIU,SFLL,1838,328
18380075,VIU,SFLL,1838,328
18810052,VIU,SFLL,1881,11
18810051,VIU,SFLL,1881,11
18810050,VIU,SFLL,1881,11
18810049,VIU,SFLL,1881,11
18810048,VIU,SFLL,1881,11
18810047,VIU,SFLL,1881,11
18890616,VIU,SFLL,1889,121
18890615,VIU,SFLL,1889,121
18890614,VIU,SFLL,1889,121
18890613,VIU,SFLL,1889,121
18380033,VIU,SFLL,1838,320
18380032,VIU,SFLL,1838,320
18380031,VIU,SFLL,1838,320
18782720,VIU,SFLL,1878,660
18810021,VIU,SFLL,1881,4
18810020,VIU,SFLL,1881,4
18380051,VIU,SFLL,1838,322
18380050,VIU,SFLL,1838,322
18380049,VIU,SFLL,1838,322
18380048,VIU,SFLL,1838,322
18380047,VIU,SFLL,1838,322
18380046,VIU,SFLL,1838,322
18380045,VIU,SFLL,1838,322
18380044,VIU,SFLL,1838,322
18380043,VIU,SFLL,1838,322
18380042,VIU,SFLL,1838,322
18380058,VIU,SFLL,1838,323
18380057,VIU,SFLL,1838,323
18380056,VIU,SFLL,1838,323
18380055,VIU,SFLL,1838,323
18380054,VIU,SFLL,1838,323
18380053,VIU,SFLL,1838,323
18380052,VIU,SFLL,1838,323
18810034,VIU,SFLL,1881,6
18810033,VIU,SFLL,1881,6
18810032,VIU,SFLL,1881,6
18810031,VIU,SFLL,1881,6
18810030,VIU,SFLL,1881,6
18810029,VIU,SFLL,1881,6
18380068,VIU,SFLL,1838,325
18380067,VIU,SFLL,1838,325
18380066,VIU,SFLL,1838,325
18380065,VIU,SFLL,1838,325
18380064,VIU,SFLL,1838,325
18810042,VIU,SFLL,1881,8
18810041,VIU,SFLL,1881,8
18810040,VIU,SFLL,1881,8
18810039,VIU,SFLL,1881,8
18810038,VIU,SFLL,1881,8
18890033,VIU,SFLL,1889,6
18890032,VIU,SFLL,1889,6
18890031,VIU,SFLL,1889,6
18380074,VIU,SFLL,1838,327
18380073,VIU,SFLL,1838,327
18810046,VIU,SFLL,1881,10
18810045,VIU,SFLL,1881,10
18890041,VIU,SFLL,1889,7
18890040,VIU,SFLL,1889,7
18890039,VIU,SFLL,1889,7
18890038,VIU,SFLL,1889,7
18890037,VIU,SFLL,1889,7
18890036,VIU,SFLL,1889,7
18890035,VIU,SFLL,1889,7
18890034,VIU,SFLL,1889,7
18380077,VIU,SFLL,1838,329
18810056,VIU,SFLL,1881,12
18810055,VIU,SFLL,1881,12
18810054,VIU,SFLL,1881,12
18810053,VIU,SFLL,1881,12
18890047,VIU,SFLL,1889,8
18890046,VIU,SFLL,1889,8
18890045,VIU,SFLL,1889,8
18890044,VIU,SFLL,1889,8
18890043,VIU,SFLL,1889,8
18890042,VIU,SFLL,1889,8
18380078,VIU,SFLL,1838,330
18810059,VIU,SFLL,1881,13
18810058,VIU,SFLL,1881,13
18810057,VIU,SFLL,1881,13
18890619,VIU,SFLL,1889,122
18890618,VIU,SFLL,1889,122
18890617,VIU,SFLL,1889,122
18380082,VIU,SFLL,1838,331
18380081,VIU,SFLL,1838,331
18380080,VIU,SFLL,1838,331
18380079,VIU,SFLL,1838,331
18810060,VIU,SFLL,1881,14
18890048,VIU,SFLL,1889,9
18380089,VIU,SFLL,1838,332
18380088,VIU,SFLL,1838,332
18380087,VIU,SFLL,1838,332
18380086,VIU,SFLL,1838,332
18380085,VIU,SFLL,1838,332
18380084,VIU,SFLL,1838,332
18380083,VIU,SFLL,1838,332
18380091,VIU,SFLL,1838,333
18380090,VIU,SFLL,1838,333
18380093,VIU,SFLL,1838,334
18380092,VIU,SFLL,1838,334
18780101,VIU,SFLL,1878,24
18780100,VIU,SFLL,1878,24
18780099,VIU,SFLL,1878,24
18780098,VIU,SFLL,1878,24
18780097,VIU,SFLL,1878,24
18810068,VIU,SFLL,1881,15
18810067,VIU,SFLL,1881,15
18810066,VIU,SFLL,1881,15
18810065,VIU,SFLL,1881,15
18810064,VIU,SFLL,1881,15
18810063,VIU,SFLL,1881,15
18810062,VIU,SFLL,1881,15
18810061,VIU,SFLL,1881,15
18890624,VIU,SFLL,1889,123
18890623,VIU,SFLL,1889,123
18890622,VIU,SFLL,1889,123
18890621,VIU,SFLL,1889,123
18890620,VIU,SFLL,1889,123
18380098,VIU,SFLL,1838,335
18380097,VIU,SFLL,1838,335
18380096,VIU,SFLL,1838,335
18380095,VIU,SFLL,1838,335
18380094,VIU,SFLL,1838,335
18780106,VIU,SFLL,1878,25
18780105,VIU,SFLL,1878,25
18780103,VIU,SFLL,1878,25
18780102,VIU,SFLL,1878,25
18810078,VIU,SFLL,1881,17
18810077,VIU,SFLL,1881,17
18810076,VIU,SFLL,1881,17
18810075,VIU,SFLL,1881,17
18810074,VIU,SFLL,1881,17
18890051,VIU,SFLL,1889,10
18890050,VIU,SFLL,1889,10
18890049,VIU,SFLL,1889,10
18380106,VIU,SFLL,1838,336
18380105,VIU,SFLL,1838,336
18380104,VIU,SFLL,1838,336
18380103,VIU,SFLL,1838,336
18380102,VIU,SFLL,1838,336
18380101,VIU,SFLL,1838,336
18380100,VIU,SFLL,1838,336
18380099,VIU,SFLL,1838,336
18780111,VIU,SFLL,1878,26
18780110,VIU,SFLL,1878,26
18780109,VIU,SFLL,1878,26
18780108,VIU,SFLL,1878,26
18780107,VIU,SFLL,1878,26
18810083,VIU,SFLL,1881,18
18810082,VIU,SFLL,1881,18
18810081,VIU,SFLL,1881,18
18810080,VIU,SFLL,1881,18
18810079,VIU,SFLL,1881,18
18890627,VIU,SFLL,1889,124
18890626,VIU,SFLL,1889,124
18890625,VIU,SFLL,1889,124
18380111,VIU,SFLL,1838,337
18380110,VIU,SFLL,1838,337
18380109,VIU,SFLL,1838,337
18380108,VIU,SFLL,1838,337
18380107,VIU,SFLL,1838,337
18380114,VIU,SFLL,1838,338
18380113,VIU,SFLL,1838,338
18380112,VIU,SFLL,1838,338
18780113,VIU,SFLL,1878,27
18780112,VIU,SFLL,1878,27
18810087,VIU,SFLL,1881,19
18810086,VIU,SFLL,1881,19
18810085,VIU,SFLL,1881,19
18810084,VIU,SFLL,1881,19
18890056,VIU,SFLL,1889,11
18890055,VIU,SFLL,1889,11
18890054,VIU,SFLL,1889,11
18890053,VIU,SFLL,1889,11
18890052,VIU,SFLL,1889,11
18380118,VIU,SFLL,1838,339
18380117,VIU,SFLL,1838,339
18380116,VIU,SFLL,1838,339
18380115,VIU,SFLL,1838,339
18810093,VIU,SFLL,1881,20
18810092,VIU,SFLL,1881,20
18810091,VIU,SFLL,1881,20
18810090,VIU,SFLL,1881,20
18810089,VIU,SFLL,1881,20
18810088,VIU,SFLL,1881,20
18890635,VIU,SFLL,1889,125
18890634,VIU,SFLL,1889,125
18890633,VIU,SFLL,1889,125
18890632,VIU,SFLL,1889,125
18890631,VIU,SFLL,1889,125
18890630,VIU,SFLL,1889,125
18890629,VIU,SFLL,1889,125
18890628,VIU,SFLL,1889,125
18380124,VIU,SFLL,1838,340
18380123,VIU,SFLL,1838,340
18380122,VIU,SFLL,1838,340
18380121,VIU,SFLL,1838,340
18380120,VIU,SFLL,1838,340
18380119,VIU,SFLL,1838,340
18380130,VIU,SFLL,1838,341
18380129,VIU,SFLL,1838,341
18380128,VIU,SFLL,1838,341
18380127,VIU,SFLL,1838,341
18380126,VIU,SFLL,1838,341
18380125,VIU,SFLL,1838,341
18810097,VIU,SFLL,1881,21
18810096,VIU,SFLL,1881,21
18810095,VIU,SFLL,1881,21
18810094,VIU,SFLL,1881,21
18890058,VIU,SFLL,1889,12
18890057,VIU,SFLL,1889,12
18380137,VIU,SFLL,1838,342
18380136,VIU,SFLL,1838,342
18380135,VIU,SFLL,1838,342
18380134,VIU,SFLL,1838,342
18380133,VIU,SFLL,1838,342
18380132,VIU,SFLL,1838,342
18380131,VIU,SFLL,1838,342
18810100,VIU,SFLL,1881,22
18810099,VIU,SFLL,1881,22
18810098,VIU,SFLL,1881,22
18890637,VIU,SFLL,1889,126
18890636,VIU,SFLL,1889,126
18380140,VIU,SFLL,1838,343
18380139,VIU,SFLL,1838,343
18380138,VIU,SFLL,1838,343
18810105,VIU,SFLL,1881,23
18810104,VIU,SFLL,1881,23
18810103,VIU,SFLL,1881,23
18810102,VIU,SFLL,1881,23
18810101,VIU,SFLL,1881,23
18890062,VIU,SFLL,1889,13
18890061,VIU,SFLL,1889,13
18890060,VIU,SFLL,1889,13
18890059,VIU,SFLL,1889,13
18380142,VIU,SFLL,1838,344
18380141,VIU,SFLL,1838,344
18810108,VIU,SFLL,1881,24
18810107,VIU,SFLL,1881,24
18810106,VIU,SFLL,1881,24
18890642,VIU,SFLL,1889,127
18890641,VIU,SFLL,1889,127
18890640,VIU,SFLL,1889,127
18890639,VIU,SFLL,1889,127
18890638,VIU,SFLL,1889,127
18380145,VIU,SFLL,1838,345
18380144,VIU,SFLL,1838,345
18380143,VIU,SFLL,1838,345
18780128,VIU,SFLL,1878,33
18810110,VIU,SFLL,1881,25
18810109,VIU,SFLL,1881,25
18890067,VIU,SFLL,1889,14
18890066,VIU,SFLL,1889,14
18890065,VIU,SFLL,1889,14
18890064,VIU,SFLL,1889,14
18890063,VIU,SFLL,1889,14
18380149,VIU,SFLL,1838,346
18380148,VIU,SFLL,1838,346
18380147,VIU,SFLL,1838,346
18380146,VIU,SFLL,1838,346
18380152,VIU,SFLL,1838,347
18380151,VIU,SFLL,1838,347
18380150,VIU,SFLL,1838,347
18780130,VIU,SFLL,1878,34
18780129,VIU,SFLL,1878,34
18780132,VIU,SFLL,1878,35
18780131,VIU,SFLL,1878,35
18810111,VIU,SFLL,1881,26
18890647,VIU,SFLL,1889,128
18890646,VIU,SFLL,1889,128
18890645,VIU,SFLL,1889,128
18890644,VIU,SFLL,1889,128
18890643,VIU,SFLL,1889,128
18380158,VIU,SFLL,1838,348
18380157,VIU,SFLL,1838,348
18380156,VIU,SFLL,1838,348
18380155,VIU,SFLL,1838,348
18380154,VIU,SFLL,1838,348
18380153,VIU,SFLL,1838,348
18780138,VIU,SFLL,1878,36
18780137,VIU,SFLL,1878,36
18780136,VIU,SFLL,1878,36
18780135,VIU,SFLL,1878,36
18780134,VIU,SFLL,1878,36
18780133,VIU,SFLL,1878,36
18810112,VIU,SFLL,1881,27
18380167,VIU,SFLL,1838,349
18380166,VIU,SFLL,1838,349
18380165,VIU,SFLL,1838,349
18380164,VIU,SFLL,1838,349
18380163,VIU,SFLL,1838,349
18380162,VIU,SFLL,1838,349
18380161,VIU,SFLL,1838,349
18380160,VIU,SFLL,1838,349
18380159,VIU,SFLL,1838,349
18780140,VIU,SFLL,1878,37
18780139,VIU,SFLL,1878,37
18810116,VIU,SFLL,1881,28
18810115,VIU,SFLL,1881,28
18810114,VIU,SFLL,1881,28
18810113,VIU,SFLL,1881,28
18890653,VIU,SFLL,1889,129
18890652,VIU,SFLL,1889,129
18890651,VIU,SFLL,1889,129
18890650,VIU,SFLL,1889,129
18890649,VIU,SFLL,1889,129
18890648,VIU,SFLL,1889,129
18380173,VIU,SFLL,1838,350
18380172,VIU,SFLL,1838,350
18380171,VIU,SFLL,1838,350
18380170,VIU,SFLL,1838,350
18380169,VIU,SFLL,1838,350
18380168,VIU,SFLL,1838,350
18810119,VIU,SFLL,1881,29
18810118,VIU,SFLL,1881,29
18810117,VIU,SFLL,1881,29
18890070,VIU,SFLL,1889,15
18890069,VIU,SFLL,1889,15
18890068,VIU,SFLL,1889,15
18380179,VIU,SFLL,1838,351
18380178,VIU,SFLL,1838,351
18380177,VIU,SFLL,1838,351
18380176,VIU,SFLL,1838,351
