ID_1,Relacio,Relacio_Harmonitzada,ID_2
18660077,hija,filla,18660079
18660077,null,esposa,18660078
18660077,cabeza,jefe,18660077
18660084,hijo,fill,18660087
18660084,hijo,fill,18660086
18660084,null,esposa,18660085
18660084,cabeza,jefe,18660084
18660088,hijo,fill,18660093
18660088,hija,filla,18660092
18660088,hijo,fill,18660091
18660088,hijo,fill,18660090
18660088,null,esposa,18660089
18660088,cabeza,jefe,18660088
18660099,hijo,fill,18660105
18660099,hija,filla,18660104
18660099,hijo,fill,18660103
18660099,hija,filla,18660102
18660099,hijo,fill,18660101
18660099,null,esposa,18660100
18660099,cabeza,jefe,18660099
18660106,cabeza,jefe,18660106
18660107,hijo,fill,18660111
18660107,hijo,fill,18660110
18660107,hija,filla,18660109
18660107,null,esposa,18660108
18660107,cabeza,jefe,18660107
18660112,hija,filla,18660116
18660112,hijo,fill,18660115
18660112,hijo,fill,18660114
18660112,null,esposa,18660113
18660112,cabeza,jefe,18660112
18660117,nieta,neta,18660125
18660117,nieto,net,18660124
18660117,nieto,net,18660123
18660117,nieta,neta,18660122
18660117,nieto,net,18660121
18660117,yerno,gendre,18660120
18660117,hija,filla,18660119
18660117,null,esposa,18660118
18660117,cabeza,jefe,18660117
18660126,hija,filla,18660134
18660126,hija,filla,18660133
18660126,hijo,fill,18660132
18660126,hija,filla,18660131
18660126,hijo,fill,18660130
18660126,hija,filla,18660129
18660126,hijo,fill,18660128
18660126,null,esposa,18660127
18660126,cabeza,jefe,18660126
18660135,hija,filla,18660139
18660135,hijo,fill,18660138
18660135,hija,filla,18660137
18660135,null,esposa,18660136
18660135,cabeza,jefe,18660135
18660140,hijo,fill,18660143
18660140,hijo,fill,18660142
18660140,null,esposa,18660141
18660140,cabeza,jefe,18660140
18660150,hija,filla,18660153
18660150,hijo,fill,18660152
18660150,null,esposa,18660151
18660150,cabeza,jefe,18660150
18660154,hija,filla,18660157
18660154,hijo,fill,18660156
18660154,null,esposa,18660155
18660154,cabeza,jefe,18660154
18660158,hijo,fill,18660159
18660158,cabeza,jefe,18660158
18660160,null,null,18660166
18660160,hija,filla,18660165
18660160,hija,filla,18660164
18660160,hija,filla,18660163
18660160,hijo,fill,18660162
18660160,null,esposa,18660161
18660160,cabeza,jefe,18660160
18660167,hijo,fill,18660173
18660167,hija,filla,18660172
18660167,hija,filla,18660171
18660167,hija,filla,18660170
18660167,hijo,fill,18660169
18660167,null,esposa,18660168
18660167,cabeza,jefe,18660167
18660174,hijo,fill,18660179
18660174,hijo,fill,18660178
18660174,hija,filla,18660177
18660174,yerno,gendre,18660176
18660174,null,esposa,18660175
18660174,cabeza,jefe,18660174
18660180,hija,filla,18660185
18660180,hijo,fill,18660184
18660180,hijo,fill,18660183
18660180,hijo,fill,18660182
18660180,null,esposa,18660181
18660180,cabeza,jefe,18660180
18660186,hijo,fill,18660191
18660186,hija,filla,18660190
18660186,hija,filla,18660189
18660186,hijo,fill,18660188
18660186,null,esposa,18660187
18660186,cabeza,jefe,18660186
18660192,hija,filla,18660195
18660192,hijo,fill,18660194
18660192,null,esposa,18660193
18660192,cabeza,jefe,18660192
18660196,hijo,fill,18660202
18660196,nieta,neta,18660201
18660196,nieta,neta,18660200
18660196,nuera,jove,18660199
18660196,hijo,fill,18660198
18660196,null,esposa,18660197
18660196,cabeza,jefe,18660196
18660203,hijo,fill,18660208
18660203,nieta,neta,18660207
18660203,nuera,jove,18660206
18660203,hijo,fill,18660205
18660203,null,esposa,18660204
18660203,cabeza,jefe,18660203
18660216,hijo,fill,18660219
18660216,hijo,fill,18660218
18660216,null,esposa,18660217
18660216,cabeza,jefe,18660216
18660220,hijo,fill,18660225
18660220,hija,filla,18660224
18660220,hija,filla,18660223
18660220,hijo,fill,18660222
18660220,null,esposa,18660221
18660220,cabeza,jefe,18660220
18660226,null,null,18660227
18660226,cabeza,jefe,18660226
18660228,hija,filla,18660234
18660228,hijo,fill,18660233
18660228,nieto,net,18660232
18660228,nuera,jove,18660231
18660228,hijo,fill,18660230
18660228,null,esposa,18660229
18660228,cabeza,jefe,18660228
18660235,hija,filla,18660240
18660235,hijo,fill,18660239
18660235,hijo,fill,18660238
18660235,hijo,fill,18660237
18660235,null,esposa,18660236
18660235,cabeza,jefe,18660235
18660241,null,null,18660243
18660241,null,esposa,18660242
18660241,cabeza,jefe,18660241
18660244,hija,filla,18660249
18660244,hija,filla,18660248
18660244,hijo,fill,18660247
18660244,hija,filla,18660246
18660244,null,esposa,18660245
18660244,cabeza,jefe,18660244
18660250,nieta,neta,18660258
18660250,nieto,net,18660257
18660250,nieta,neta,18660256
18660250,null,null,18660255
18660250,nieta,neta,18660254
18660250,nieto,net,18660253
18660250,nuera,jove,18660252
18660250,hijo,fill,18660251
18660250,cabeza,jefe,18660250
18660266,hermano,germa,18660273
18660266,hermana,germana,18660272
18660266,hermano,germa,18660271
18660266,hermano,germa,18660270
18660266,hijo,fill,18660269
18660266,hijo,fill,18660268
18660266,null,esposa,18660267
18660266,cabeza,jefe,18660266
18660279,cabeza,jefe,18660279
18660280,hija,filla,18660286
18660280,hija,filla,18660285
18660280,hija,filla,18660284
18660280,hijo,fill,18660283
18660280,hijo,fill,18660282
18660280,null,esposa,18660281
18660280,cabeza,jefe,18660280
18660287,hijo,fill,18660292
18660287,hijo,fill,18660291
18660287,hija,filla,18660290
18660287,hijo,fill,18660289
18660287,null,esposa,18660288
18660287,cabeza,jefe,18660287
18660293,hijo,fill,18660296
18660293,hijo,fill,18660295
18660293,null,esposa,18660294
18660293,cabeza,jefe,18660293
18660297,hija,filla,18660299
18660297,null,esposa,18660298
18660297,cabeza,jefe,18660297
18660297,hijo,fill,18660029
18660297,hija,filla,18660028
18660297,hijo,fill,18660027
18660300,hija,filla,18660308
18660300,hija,filla,18660307
18660300,hija,filla,18660306
18660300,hijo,fill,18660305
18660300,hija,filla,18660304
18660300,hijo,fill,18660303
18660300,hermana,germana,18660302
18660300,null,esposa,18660301
18660300,cabeza,jefe,18660300
18660309,null,esposa,18660311
18660309,hijo,fill,18660310
18660309,cabeza,jefe,18660309
18660314,cabeza,jefe,18660314
18660315,hijo,fill,18660318
18660315,hija,filla,18660317
18660315,null,esposa,18660316
18660315,cabeza,jefe,18660315
18660319,hijo,fill,18660324
18660319,hija,filla,18660323
18660319,nuera,jove,18660322
18660319,hijo,fill,18660321
18660319,null,esposa,18660320
18660319,cabeza,jefe,18660319
18660325,cabeza,jefe,18660325
18660325,nieto,net,18660035
18660325,nieto,net,18660034
18660325,nieta,neta,18660033
18660325,nuera,jove,18660032
18660325,hijo,fill,18660031
18660325,null,esposa,18660030
18660327,hijo,fill,18660331
18660327,hijo,fill,18660330
18660327,hija,filla,18660329
18660327,null,esposa,18660328
18660327,cabeza,jefe,18660327
18660332,null,null,18660341
18660332,hija,filla,18660340
18660332,nieta,neta,18660339
18660332,nieta,neta,18660338
18660332,nieta,neta,18660337
18660332,nieto,net,18660336
18660332,nieto,net,18660335
18660332,nuera,jove,18660334
18660332,hijo,fill,18660333
18660332,cabeza,jefe,18660332
18660342,cabeza,jefe,18660342
18660343,null,null,18660351
18660343,hija,filla,18660350
18660343,hijo,fill,18660349
18660343,hijo,fill,18660348
18660343,hijo,fill,18660347
18660343,hija,filla,18660346
18660343,hijo,fill,18660345
18660343,null,esposa,18660344
18660343,cabeza,jefe,18660343
18660352,hija,filla,18660356
18660352,hijo,fill,18660355
18660352,hijo,fill,18660354
18660352,null,esposa,18660353
18660352,cabeza,jefe,18660352
18660352,hijo,fill,18660046
18660352,hijo,fill,18660045
18660357,null,esposa,18660358
18660357,cabeza,jefe,18660357
18660357,hijo,fill,18660052
18660357,hija,filla,18660051
18660357,hija,filla,18660050
18660357,hijo,fill,18660049
18660357,hija,filla,18660048
18660357,hijo,fill,18660047
18390135,null,null,18390144
18390135,null,null,18390143
18390135,null,null,18390142
18390135,null,null,18390141
18390135,null,null,18390140
18390135,null,null,18390139
18390135,null,null,18390138
18390135,null,null,18390137
18390135,esposa,esposa,18390136
18390135,jefe,jefe,18390135
18781381,null,fill,18781384
18781381,null,esposa,18781382
18781381,jefe,jefe,18781381
18781385,null,cunyat,18781391
18781385,null,cunyada,18781390
18781385,null,fill,18781389
18781385,null,fill,18781388
18781385,null,fill,18781387
18781385,null,esposa,18781386
18781385,jefe,jefe,18781385
18781392,null,gendre,18781396
18781392,null,fill,18781395
18781392,null,fill,18781394
18781392,null,fill,18781393
18781392,jefe,jefe,18781392
18330001,null,null,18330004
18330001,null,null,18330003
18330001,null,null,18330002
18330001,jefe,jefe,18330001
18330005,null,null,18330010
18330005,null,null,18330009
18330005,null,null,18330008
18330005,null,null,18330007
18330005,esposa,esposa,18330006
18330005,jefe,jefe,18330005
18330011,null,null,18330014
18330011,null,null,18330013
18330011,esposa,esposa,18330012
18330011,jefe,jefe,18330011
18330015,null,null,18330018
18330015,null,null,18330017
18330015,esposa,esposa,18330016
18330015,jefe,jefe,18330015
18330019,null,null,18330025
18330019,null,null,18330024
18330019,null,null,18330023
18330019,null,null,18330022
18330019,null,null,18330021
18330019,null,null,18330020
18330019,jefe,jefe,18330019
18330026,null,null,18330028
18330026,esposa,esposa,18330027
18330026,jefe,jefe,18330026
18330032,jefe,jefe,18330032
18330033,null,null,18330038
18330033,null,null,18330037
18330033,null,null,18330036
18330033,null,null,18330035
18330033,esposa,esposa,18330034
18330033,jefe,jefe,18330033
18330039,null,null,18330047
18330039,null,null,18330046
18330039,null,null,18330045
18330039,null,null,18330044
18330039,null,null,18330043
18330039,null,null,18330042
18330039,null,null,18330041
18330039,esposa,esposa,18330040
18330039,jefe,jefe,18330039
18330048,null,null,18330051
18330048,null,null,18330050
18330048,esposa,esposa,18330049
18330048,jefe,jefe,18330048
18330052,null,null,18330057
18330052,null,null,18330056
18330052,null,null,18330055
18330052,null,null,18330054
18330052,esposa,esposa,18330053
18330052,jefe,jefe,18330052
18330058,null,null,18330062
18330058,null,null,18330061
18330058,null,null,18330060
18330058,esposa,esposa,18330059
18330058,jefe,jefe,18330058
18330063,null,null,18330066
18330063,null,null,18330065
18330063,esposa,esposa,18330064
18330063,jefe,jefe,18330063
18330067,null,null,18330071
18330067,null,null,18330070
18330067,null,null,18330069
18330067,esposa,esposa,18330068
18330067,jefe,jefe,18330067
18330072,null,null,18330074
18330072,null,null,18330073
18330072,jefe,jefe,18330072
18330075,null,null,18330077
18330075,esposa,esposa,18330076
18330075,jefe,jefe,18330075
18330078,null,null,18330084
18330078,null,null,18330083
18330078,null,null,18330082
18330078,null,null,18330081
18330078,null,null,18330080
18330078,null,null,18330079
18330078,jefe,jefe,18330078
18330085,null,null,18330092
18330085,null,null,18330091
18330085,null,null,18330090
18330085,null,null,18330089
18330085,null,null,18330088
18330085,null,null,18330087
18330085,esposa,esposa,18330086
18330085,jefe,jefe,18330085
18330093,null,null,18330101
18330093,null,null,18330100
18330093,null,null,18330099
18330093,null,null,18330098
18330093,null,null,18330097
18330093,null,null,18330096
18330093,null,null,18330095
18330093,esposa,esposa,18330094
18330093,jefe,jefe,18330093
18330102,null,null,18330107
18330102,null,null,18330106
18330102,null,null,18330105
18330102,null,null,18330104
18330102,esposa,esposa,18330103
18330102,jefe,jefe,18330102
18330108,null,null,18330111
18330108,null,null,18330110
18330108,esposa,esposa,18330109
18330108,jefe,jefe,18330108
18330112,null,null,18330115
18330112,null,null,18330114
18330112,esposa,esposa,18330113
18330112,jefe,jefe,18330112
18330116,null,null,18330123
18330116,null,null,18330122
18330116,null,null,18330121
18330116,null,null,18330120
18330116,null,null,18330119
18330116,null,null,18330118
18330116,esposa,esposa,18330117
18330116,jefe,jefe,18330116
18330124,null,null,18330128
18330124,null,null,18330127
18330124,null,null,18330126
18330124,null,null,18330125
18330124,jefe,jefe,18330124
18330129,null,null,18330135
18330129,null,null,18330134
18330129,null,null,18330133
18330129,null,null,18330132
18330129,null,null,18330131
18330129,null,null,18330130
18330129,jefe,jefe,18330129
18330136,null,null,18330138
18330136,esposa,esposa,18330137
18330136,jefe,jefe,18330136
18330139,null,null,18330146
18330139,null,null,18330145
18330139,null,null,18330144
18330139,null,null,18330143
18330139,null,null,18330142
18330139,null,null,18330141
18330139,null,null,18330140
18330139,jefe,jefe,18330139
18330147,null,null,18330149
18330147,null,null,18330148
18330147,jefe,jefe,18330147
18330150,null,null,18330154
18330150,null,null,18330153
18330150,null,null,18330152
18330150,esposa,esposa,18330151
18330150,jefe,jefe,18330150
18330155,null,null,18330161
18330155,null,null,18330160
18330155,null,null,18330159
18330155,null,null,18330158
18330155,null,null,18330157
18330155,esposa,esposa,18330156
18330155,jefe,jefe,18330155
18330162,null,null,18330166
18330162,null,null,18330165
18330162,null,null,18330164
18330162,esposa,esposa,18330163
18330162,jefe,jefe,18330162
18330167,null,null,18330169
18330167,null,null,18330168
18330167,jefe,jefe,18330167
18330170,null,null,18330174
18330170,null,null,18330173
18330170,null,null,18330172
18330170,esposa,esposa,18330171
18330170,jefe,jefe,18330170
18330175,null,null,18330179
18330175,null,null,18330178
18330175,null,null,18330177
18330175,esposa,esposa,18330176
18330175,jefe,jefe,18330175
18330180,esposa,esposa,18330181
18330180,jefe,jefe,18330180
18330182,null,null,18330188
18330182,null,null,18330187
18330182,null,null,18330186
18330182,null,null,18330185
18330182,null,null,18330184
18330182,null,null,18330183
18330182,jefe,jefe,18330182
18330189,null,null,18330191
18330189,esposa,esposa,18330190
18330189,jefe,jefe,18330189
18330192,null,null,18330195
18330192,null,null,18330194
18330192,null,null,18330193
18330192,jefe,jefe,18330192
18330196,null,null,18330200
18330196,null,null,18330199
18330196,null,null,18330198
18330196,esposa,esposa,18330197
18330196,jefe,jefe,18330196
18330201,null,null,18330203
18330201,null,null,18330202
18330201,jefe,jefe,18330201
18330204,null,null,18330208
18330204,null,null,18330207
18330204,null,null,18330206
18330204,esposa,esposa,18330205
18330204,jefe,jefe,18330204
18330209,null,null,18330212
18330209,null,null,18330211
18330209,esposa,esposa,18330210
18330209,jefe,jefe,18330209
18330213,null,null,18330216
18330213,null,null,18330215
18330213,esposa,esposa,18330214
18330213,jefe,jefe,18330213
18330217,null,null,18330223
18330217,null,null,18330222
18330217,null,null,18330221
18330217,null,null,18330220
18330217,null,null,18330219
18330217,esposa,esposa,18330218
18330217,jefe,jefe,18330217
18330224,null,null,18330226
18330224,esposa,esposa,18330225
18330224,jefe,jefe,18330224
18330227,null,null,18330230
18330227,null,null,18330229
18330227,esposa,esposa,18330228
18330227,jefe,jefe,18330227
18330231,null,null,18330233
18330231,esposa,esposa,18330232
18330231,jefe,jefe,18330231
18330234,null,null,18330237
18330234,null,null,18330236
18330234,esposa,esposa,18330235
18330234,jefe,jefe,18330234
18330238,null,null,18330243
18330238,null,null,18330242
18330238,null,null,18330241
18330238,null,null,18330240
18330238,esposa,esposa,18330239
18330238,jefe,jefe,18330238
18330244,null,null,18330250
18330244,null,null,18330249
18330244,null,null,18330248
18330244,null,null,18330247
18330244,null,null,18330246
18330244,null,null,18330245
18330244,jefe,jefe,18330244
18330251,null,null,18330255
18330251,null,null,18330254
18330251,null,null,18330253
18330251,null,null,18330252
18330251,jefe,jefe,18330251
18330256,null,null,18330258
18330256,esposa,esposa,18330257
18330256,jefe,jefe,18330256
18330259,jefe,jefe,18330259
18330260,null,null,18330266
18330260,null,null,18330265
18330260,null,null,18330264
18330260,null,null,18330263
18330260,null,null,18330262
18330260,esposa,esposa,18330261
18330260,jefe,jefe,18330260
18330267,null,null,18330271
18330267,null,null,18330270
18330267,null,null,18330269
18330267,esposa,esposa,18330268
18330267,jefe,jefe,18330267
18330272,null,null,18330278
18330272,null,null,18330277
18330272,null,null,18330276
18330272,null,null,18330275
18330272,null,null,18330274
18330272,null,null,18330273
18330272,jefe,jefe,18330272
18330279,null,null,18330282
18330279,null,null,18330281
18330279,esposa,esposa,18330280
18330279,jefe,jefe,18330279
18330283,null,null,18330289
18330283,null,null,18330288
18330283,null,null,18330287
18330283,null,null,18330286
18330283,null,null,18330285
18330283,esposa,esposa,18330284
18330283,jefe,jefe,18330283
18330290,null,null,18330293
18330290,null,null,18330292
18330290,esposa,esposa,18330291
18330290,jefe,jefe,18330290
18330294,null,null,18330296
18330294,esposa,esposa,18330295
18330294,jefe,jefe,18330294
18330297,null,null,18330298
18330297,jefe,jefe,18330297
18330299,null,null,18330300
18330299,jefe,jefe,18330299
18330301,null,null,18330306
18330301,null,null,18330305
18330301,null,null,18330304
18330301,null,null,18330303
18330301,esposa,esposa,18330302
18330301,jefe,jefe,18330301
18330307,null,null,18330309
18330307,null,null,18330308
18330307,jefe,jefe,18330307
18330310,null,null,18330313
18330310,null,null,18330312
18330310,esposa,esposa,18330311
18330310,jefe,jefe,18330310
18330314,null,null,18330316
18330314,null,null,18330315
18330314,jefe,jefe,18330314
18330317,jefe,jefe,18330317
18330318,null,null,18330321
18330318,null,null,18330320
18330318,esposa,esposa,18330319
18330318,jefe,jefe,18330318
18330322,null,null,18330329
18330322,null,null,18330328
18330322,null,null,18330327
18330322,null,null,18330326
18330322,null,null,18330325
18330322,null,null,18330324
18330322,null,null,18330323
18330322,jefe,jefe,18330322
18330330,null,null,18330334
18330330,null,null,18330333
18330330,null,null,18330332
18330330,null,null,18330331
18330330,jefe,jefe,18330330
18330335,null,null,18330336
18330335,jefe,jefe,18330335
18330337,esposa,esposa,18330338
18330337,jefe,jefe,18330337
18330339,null,null,18330340
18330339,jefe,jefe,18330339
18330341,null,null,18330343
18330341,null,null,18330342
18330341,jefe,jefe,18330341
18330344,null,null,18330350
18330344,null,null,18330349
18330344,null,null,18330348
18330344,null,null,18330347
18330344,null,null,18330346
18330344,null,null,18330345
18330344,jefe,jefe,18330344
18330351,null,null,18330352
18330351,jefe,jefe,18330351
18330353,null,null,18330359
18330353,null,null,18330358
18330353,null,null,18330357
18330353,null,null,18330356
18330353,null,null,18330355
18330353,esposa,esposa,18330354
18330353,jefe,jefe,18330353
18330360,null,null,18330364
18330360,null,null,18330363
18330360,null,null,18330362
18330360,esposa,esposa,18330361
18330360,jefe,jefe,18330360
18330365,null,null,18330371
18330365,null,null,18330370
18330365,null,null,18330369
18330365,null,null,18330368
18330365,null,null,18330367
18330365,null,null,18330366
18330365,jefe,jefe,18330365
18330372,null,null,18330376
18330372,null,null,18330375
18330372,null,null,18330374
18330372,esposa,esposa,18330373
18330372,jefe,jefe,18330372
18330377,null,null,18330381
18330377,null,null,18330380
18330377,null,null,18330379
18330377,null,null,18330378
18330377,jefe,jefe,18330377
18330382,null,null,18330387
18330382,null,null,18330386
18330382,null,null,18330385
18330382,null,null,18330384
18330382,esposa,esposa,18330383
18330382,jefe,jefe,18330382
18330388,null,null,18330394
18330388,null,null,18330393
18330388,null,null,18330392
18330388,null,null,18330391
18330388,null,null,18330390
18330388,null,null,18330389
18330388,jefe,jefe,18330388
18330395,esposa,esposa,18330396
18330395,jefe,jefe,18330395
18330397,null,null,18330399
18330397,null,null,18330398
18330397,jefe,jefe,18330397
18330400,null,null,18330404
18330400,null,null,18330403
18330400,null,null,18330402
18330400,esposa,esposa,18330401
18330400,jefe,jefe,18330400
18330405,null,null,18330408
18330405,null,null,18330407
18330405,esposa,esposa,18330406
18330405,jefe,jefe,18330405
18330409,null,null,18330412
18330409,null,null,18330411
18330409,null,null,18330410
18330409,jefe,jefe,18330409
18330413,null,null,18330415
18330413,esposa,esposa,18330414
18330413,jefe,jefe,18330413
18330416,null,null,18330419
18330416,null,null,18330418
18330416,null,null,18330417
18330416,jefe,jefe,18330416
18330420,null,null,18330424
18330420,null,null,18330423
18330420,null,null,18330422
18330420,esposa,esposa,18330421
18330420,jefe,jefe,18330420
18330425,null,null,18330430
18330425,null,null,18330429
18330425,null,null,18330428
18330425,null,null,18330427
18330425,null,null,18330426
18330425,jefe,jefe,18330425
18330431,null,null,18330441
18330431,null,null,18330440
18330431,null,null,18330439
18330431,null,null,18330438
18330431,null,null,18330437
18330431,null,null,18330436
18330431,null,null,18330435
18330431,null,null,18330434
18330431,null,null,18330433
18330431,null,null,18330432
18330431,jefe,jefe,18330431
18330442,null,null,18330444
18330442,esposa,esposa,18330443
18330442,jefe,jefe,18330442
18330445,null,null,18330451
18330445,null,null,18330450
18330445,null,null,18330449
18330445,null,null,18330448
18330445,null,null,18330447
18330445,null,null,18330446
18330445,jefe,jefe,18330445
18330452,null,null,18330459
18330452,null,null,18330458
18330452,null,null,18330457
18330452,null,null,18330456
18330452,null,null,18330455
18330452,null,null,18330454
18330452,null,null,18330453
18330452,jefe,jefe,18330452
18330460,null,null,18330463
18330460,null,null,18330462
18330460,esposa,esposa,18330461
18330460,jefe,jefe,18330460
18330464,null,null,18330471
18330464,null,null,18330470
18330464,null,null,18330469
18330464,null,null,18330468
18330464,null,null,18330467
18330464,null,null,18330466
18330464,esposa,esposa,18330465
18330464,jefe,jefe,18330464
18330472,null,null,18330475
18330472,null,null,18330474
18330472,null,null,18330473
18330472,jefe,jefe,18330472
18330476,null,null,18330477
18330476,jefe,jefe,18330476
18330478,null,null,18330485
18330478,null,null,18330484
18330478,null,null,18330483
18330478,null,null,18330482
18330478,null,null,18330481
18330478,null,null,18330480
18330478,esposa,esposa,18330479
18330478,jefe,jefe,18330478
18330486,null,null,18330487
18330486,jefe,jefe,18330486
18330488,null,null,18330492
18330488,null,null,18330491
18330488,null,null,18330490
18330488,esposa,esposa,18330489
18330488,jefe,jefe,18330488
18330493,null,null,18330496
18330493,null,null,18330495
18330493,esposa,esposa,18330494
18330493,jefe,jefe,18330493
18330497,null,null,18330501
18330497,null,null,18330500
18330497,null,null,18330499
18330497,null,null,18330498
18330497,jefe,jefe,18330497
18330502,null,null,18330505
18330502,null,null,18330504
18330502,null,null,18330503
18330502,jefe,jefe,18330502
18330506,null,null,18330509
18330506,null,null,18330508
18330506,esposa,esposa,18330507
18330506,jefe,jefe,18330506
18330510,null,null,18330515
18330510,null,null,18330514
18330510,null,null,18330513
18330510,null,null,18330512
18330510,esposa,esposa,18330511
18330510,jefe,jefe,18330510
18330516,null,null,18330518
18330516,esposa,esposa,18330517
18330516,jefe,jefe,18330516
18330519,null,null,18330522
18330519,null,null,18330521
18330519,esposa,esposa,18330520
18330519,jefe,jefe,18330519
18330523,null,null,18330524
18330523,jefe,jefe,18330523
18330525,null,null,18330527
18330525,null,null,18330526
18330525,jefe,jefe,18330525
18330528,null,null,18330532
18330528,null,null,18330531
18330528,null,null,18330530
18330528,esposa,esposa,18330529
18330528,jefe,jefe,18330528
18330533,null,null,18330537
18330533,null,null,18330536
18330533,null,null,18330535
18330533,esposa,esposa,18330534
18330533,jefe,jefe,18330533
18330538,null,null,18330541
18330538,null,null,18330540
18330538,null,null,18330539
18330538,jefe,jefe,18330538
18330542,null,null,18330547
18330542,null,null,18330546
18330542,null,null,18330545
18330542,null,null,18330544
18330542,esposa,esposa,18330543
18330542,jefe,jefe,18330542
18330548,null,null,18330555
18330548,null,null,18330554
18330548,null,null,18330553
18330548,null,null,18330552
18330548,null,null,18330551
18330548,null,null,18330550
18330548,esposa,esposa,18330549
18330548,jefe,jefe,18330548
18330556,null,null,18330557
18330556,jefe,jefe,18330556
18330558,jefe,jefe,18330558
18330559,null,null,18330563
18330559,null,null,18330562
18330559,null,null,18330561
18330559,esposa,esposa,18330560
18330559,jefe,jefe,18330559
18330564,null,null,18330567
18330564,null,null,18330566
18330564,esposa,esposa,18330565
18330564,jefe,jefe,18330564
18330568,null,null,18330571
18330568,null,null,18330570
18330568,null,null,18330569
18330568,jefe,jefe,18330568
18330572,null,null,18330581
18330572,null,null,18330580
18330572,null,null,18330579
18330572,null,null,18330578
18330572,null,null,18330577
18330572,null,null,18330576
18330572,null,null,18330575
18330572,null,null,18330574
18330572,null,null,18330573
18330572,jefe,jefe,18330572
18330582,null,null,18330587
18330582,null,null,18330586
18330582,null,null,18330585
18330582,null,null,18330584
18330582,esposa,esposa,18330583
18330582,jefe,jefe,18330582
18330588,null,null,18330591
18330588,null,null,18330590
18330588,null,null,18330589
18330588,jefe,jefe,18330588
18330592,null,null,18330598
18330592,null,null,18330597
18330592,null,null,18330596
18330592,null,null,18330595
18330592,null,null,18330594
18330592,esposa,esposa,18330593
18330592,jefe,jefe,18330592
18330599,null,null,18330603
18330599,null,null,18330602
18330599,null,null,18330601
18330599,null,null,18330600
18330599,jefe,jefe,18330599
18330604,null,null,18330606
18330604,null,null,18330605
18330604,jefe,jefe,18330604
18330607,null,null,18330610
18330607,null,null,18330609
18330607,esposa,esposa,18330608
18330607,jefe,jefe,18330607
18330611,null,null,18330618
18330611,null,null,18330617
18330611,null,null,18330616
18330611,null,null,18330615
18330611,null,null,18330614
18330611,null,null,18330613
18330611,esposa,esposa,18330612
18330611,jefe,jefe,18330611
18330619,null,null,18330630
18330619,null,null,18330629
18330619,null,null,18330628
18330619,null,null,18330627
18330619,null,null,18330626
18330619,null,null,18330625
18330619,null,null,18330624
18330619,null,null,18330623
18330619,null,null,18330622
18330619,null,null,18330621
18330619,null,null,18330620
18330619,jefe,jefe,18330619
18330631,null,null,18330637
18330631,null,null,18330636
18330631,null,null,18330635
18330631,null,null,18330634
18330631,null,null,18330633
18330631,null,null,18330632
18330631,jefe,jefe,18330631
18330638,null,null,18330639
18330638,jefe,jefe,18330638
18330640,null,null,18330643
18330640,null,null,18330642
18330640,esposa,esposa,18330641
18330640,jefe,jefe,18330640
18330644,null,null,18330645
18330644,jefe,jefe,18330644
18330646,null,null,18330650
18330646,null,null,18330649
18330646,null,null,18330648
18330646,esposa,esposa,18330647
18330646,jefe,jefe,18330646
18330651,null,null,18330660
18330651,null,null,18330659
18330651,null,null,18330658
18330651,null,null,18330657
18330651,null,null,18330656
